category,file_path,role,skills,education
HEALTHCARE,data/HEALTHCARE/60624892.pdf,OCCUPATIONAL THERAPIST,"Client Development Project Management Program Development Finance Analysis Training & Development
Customer Service Organizational Development Presentation Skills Excellent Communication Skills Business Management skills Computer
Expertise - Electronic Medical Records, MS Word, Excel, Access, Publisher, PowerPoint, Outlook, QuickBooks Problem Solving - Proven
ability to troubleshoot and develop creative, innovative solutions to business challenges; successfully manage change for improved performance and
efficiency Management by Mentoring - Noted for ability to motivate performance, communicate strong messages, nurture partnerships, and deliver
significant sales growth. History of successful health care leadership, sales and project management Business Operations - Outstanding","on company policies, procedures, rules, regulations, therapeutic 
processes, financials, management tools, management
approaches, & documentation.Conduct presentations on models and theories that support the services, culture, and best practices of the organization.
Provide a rolling mentorship for clinicians and managers within the organization.
Development and education on therapeutic and wellness interventions and programs in order to provide the best quality of 
care in the
industry.
Development and Presentation of AOTA Accredited CEU programs: Balance, Low Vision, Urinary Incontinence, and Dementia
Management.
Training and Implementation of Digital Documentation systems for all product lines nationwide.
Education
Bachelor of Science
 
: 
Occupational Therapy
 
, 
5 2004
 
Midwestern University
 
- 
City
 
, 
State
 
GPA: 
Graduated Suma Cum Laude GPA: 3.6
 
Occupational Therapy Graduated Suma Cum Laude GPA: 3.6 Most Distinguished Student, MWU,
Class of
Masters of Business Administration
 
: 
Healthcare Management
 
, 
6 2014
 
University of Phoenix
 
- 
GPA: 
Phoenix Arizona 
Graduate Magnum Cum Laude GPA: 3.89
 
Healthcare Management Phoenix Arizona 
Graduate Magnum Cum Laude
GPA: 3.89
Graduate Certificate in Accounting/CPA Exam Candidate
 
: 
3 2015"
HEALTHCARE,data/HEALTHCARE/17864043.pdf,CORPORATE REGIONAL RECRUITER,"needed for vacancies.
Attends departmental staff and other meetings as requested to acquire substantial knowledge about department's business objectives, goals,
operations and work culture.
Conducts daily calls with potential candidates to build pipeline of applicants to meet common and unique staffing needs; updates candidates
on the hiring process and ensures a smooth transition post-hire.
Partners with Regional HR Director, Talent Acquisition Specialist and regional management to develop and implement the regional
recruitment plan.
Manages established selection process to include initial interviewing to screen for basic qualifications.
Collects data and statistics for use in designing recruitment plans and measuring the effectiveness of various recruitment efforts.
Healthcare Recruiter
 
02/2014
 
to 
06/2015
 
Company Name
 
City
 
, 
State
Develop a measurable strategic plan for recruitment that reflects the market analysis, seasonal trends, volume of business and sales activity
within a given market.
Actively sources candidates using multiple sources, strategies, and methods, Performs strategic recruitment and marketing activities,
including resume mining, job fairs and professional networking events.
Performs prescreening and interviewing for field employees.
Enters all new applicant information in the computer system.
Conducts new hire process, 
Reviews and verifies all new hire documentation and credentials; verifies references, completes criminal
background check and drug test processes.
Makes hiring decisions for field employees.
Fill open orders.
Audit facility compliance to ensure candidates can attend facility orientations.
Post job descriptions to appropriate posting sites.
Attend Weekly staffing meetings.
Complete weekly reports for staffing.
Adhere to policies and procedures.
Meets or exceeds Recruiter benchmarks.
Performs other duties as assigned.
National Physician Recruiter
 
02/2012
 
to 
11/2014
 
Company Name
 
City
 
, 
State
Made cold calls to develop relationships with potential providers.
Contacted current providers to grow existing relationships and pursued referrals.
Engaged with current 
and potential providers with the objective being to assess their current situation and facilitate a match between them
and one of our clients.
Ensured that potential candidates met quality metrics by asking qualifying questions and following up on any discrepancies.
Presented qualified providers to account executives and business development representatives.
Negotiated rates and expenses as required.
Sourced providers via resume databases and network sites.
Wrote provider agreements and exhibits as necessary.
Followed up with any accepted providers while on client engagements to ensure satisfaction.
Promptly escalated any and all candidate issues to the account executive or business development representative.
Actively managed an ever expanding portfolio of providers.Ensured all data is inputted into the company sales force account as it occurs.
Prepared to consult with account executives, business development representatives and management regarding all provider activities.
National Healthcare Recruiter
 
08/2011
 
to 
02/2012
 
Company Name
 
City
 
, 
State
Sourced healthcare professionals for travel and contract assignments.
Qualified candidates based on 
client requirements.
Maintaining pipelines to passive candidates.
Make 60-100 daily outbound calls and emails to potential candidates.
Customer relationship development and management.
Demonstrated problem solving and closing abilities.
Personnel management and schedule organization for external employees.
Managed correspondence between healthcare professionals and Agency.
Completed profile and credentialing for candidate submittals in the absence of Recruitment Coordinator.
Recruiter
 
07/2009
 
to 
08/2011
 
Company Name
 
City
 
, 
State
Developed and executed recruiting plans.
Networked through industry contacts, association memberships, trade groups and employees.
Coordinated and implemented college recruiting initiatives.
Work with hiring managers on recruiting planning meetings.
Created job descriptions.
Participated in the creation of a recruiting and interviewing plan for each open position.
Efficiently and effectively fill open positions.
Conducted regular follow-up with managers to determine the effectiveness of recruiting plans and implementation.
Developed a pool of qualified candidates in advance of need.
Built networks to find qualified passive candidates.
Posted openings in newspaper advertisements, with professional organizations, and in other position appropriate venues.
Utilized the Internet for recruitment.
Located and documented where to find ideal candidates.
Aided public relations in establishing a recognizable ""employer of choice"" reputation for the company, both internally and externally.
Communicated with managers and employees regularly to establish rapport, gauge morale, and source new candidate leads.
Created contacts within industry.
Attended local professional meetings and membership development meetings.
Maintained regular contact with possible future candidates.
Maintain all pertinent applicant and interview data in the Human Resources Information System (HRIS).
Assisted in performing reference and background checks for potential employees.
Assisted in writing and forwarding rejection letters.
Assisted in interviewing and selecting employee's onsite.
Assisted in preparing and sending offer packages.
Assisted in preparing and sending new employee orientation packages.
Admissions Recruiter
 
12/2005
 
to 
07/2009
 
Company Name
 
City
 
, 
State
Recruited, trained, coached, and managed members of the admissions team.
Managed lead flow and distribution.
Established, monitored, and met goals for program enrollments.
Worked collaboratively with all college staff and faculty.
Contributed to the process and implementation of strategic planning.
Kept abreast of trends that impacted recruitment efforts.
Organized and conducted open house events for prospective students.
Interviewed prospective students via telephone and personal interviews.
processed student enrollments and maintained database system to track prospective students and 
enrollments.
Created and managed marketing materials to recruit new students and retain current students.","B.A
 
: 
Sociology
 
08/1998
 
Portland State University
 
City
 
, 
State
 
Sociology"
HEALTHCARE,data/HEALTHCARE/49325370.pdf,HEALTHCARE EFFECTIVENESS DATA AND INFORMATION SET COORDINATOR (HEDIS),". Strong work ethic, professional
demeanor and great initiative.
Energetic, results-oriented team-player eager to bring strong administrative skills to a growing company in need of top-level support.
Responsible Office Manager versed in mediating employee conflict and running efficient daily business operations.
Effective Organization and Communication Skills / Master New Concepts Quickly / Initiate Document Control and Processing Information / High
Level Customer Service and Detail Oriented / Report Composing and Document Presentation / Thorough Investigation and Monitoring / Patrol
and Crowd Control Access
Core Qualifications
Microsoft Office Suite expert
People-oriented
Organized
Exceptional communicator
Deadline-oriented
Schedule management
Report analysis
Medical terminology","Certified Medical Office Assistant
 
: 
Medical Administration
 
2009
 
Kennesaw State Continuing Education
 
City
 
, 
State
 
, 
USA
â€¢Medical Office Receptionist/Support Specialist, Patient Scheduling, Medical Records/Documents, CMS 1500 Medical Billing, Medical
Terminology/Basic Anatomy and Physiology, Specialized Billing/Reimbursement, Business Skill and Management, 80 hour Medical Externship at
WellStar Medical Center, Certified CPR w/AED"
HEALTHCARE,data/HEALTHCARE/11653906.pdf,SENIOR DIRECTOR OF BUSINESS OPERATIONS - HEALTHCARE,"Professional Services Management
Total quality management
Professional","MBA
 
:
 
Business Administration
 
University of Massachusetts at Lowell -Manning School of Business 
, 
City
 
, 
State
 
, 
USA
Bachelor of Arts
 
:
 
Sociology
 
University of Massachusetts at Lowell
 
, 
City
 
, 
State
 
, 
USA"
HEALTHCARE,data/HEALTHCARE/12938200.pdf,EMERGENCY ROOM ADMITTING SPECIALIST/QUALITY ASSURANCE,". Fast leaner and excel in
building dynamic teams in an effort to achieve a goal for continual improvement.","Master
 
, 
Social Work
 
Spring 2016
 
University of Utah College of Social Work
 
Social Work
Bachelors
 
Summer 2007
 
California State University
 
ï¼​ 
City
 
in the Art of Social Work"
HEALTHCARE,data/HEALTHCARE/17545780.pdf,OFFICE MANAGER/MANAGING DIRECTOR,"Strong p
 resentation skills
Accomplished leader
Patient evaluation/intervention
Professional bedside manner
Adept at prioritizing/managing deadlines
Patient-focused care
Trained in pre- and post-surgical care
Competent in physical assessments
Minor surgery assistance awareness","M.D.
 
: 
1 2011
 
WINDSOR UNIVERSITY SCHOOL OF MEDICINE
 
- 
City
Top 
[Number]
 % of class
Continuing education in 
[Topic]
Awards
School Diligence Award - 2005 
Â Writer's Craft Award â€“ 2005 
Â World Issues Award - 2005"
HEALTHCARE,data/HEALTHCARE/28423028.pdf,PRACTICE MANAGER,"APM, administrative, administrative support, Streamline, Anatomy, agency, Behavioral Health, billing, budgets, Business Objects, Call Center,
clinical leadership, CMS, contracts, conversion, CPT, clients, customer service, databases, Department of Health, documentation, Electronic
Health Records, Electronic Medical Records, staff training, facility maintenance, financial, financial reports, focus, grants, gynecology, Health
Information Technology, Hyperion, ICD-10, inspection, Insurance, inventory, Lawson, Leadership, Regulatory Compliance, Medical
Terminology, meetings, exchange, Microsoft Office Suite, 97, SharePoint, obstetrics, organizational, Patient Safety, personnel, Physiology,
policies, Press, processes, Coding, Quality, Quality Improvement, quality control, reporting, research, risk management, safety, scheduling, staff
supervision, Strategic, supervision, surgery, workflow","and Training
Certificate of Completion: Health Information Technology - Coding Certificate Program
 
Rowan College of Burlington County
 
ï¼​ 
City
 
, 
State
MA
 
: 
Administrative Management/Public Administration
 
Administrative Management/Public Administration
BA
 
: 
Social Science/Political Science
 
Bowie State University Clarion University of Pennsylvania
 
ï¼​ 
City
 
, 
State
 
Social Science/Political Science
Skill"
HEALTHCARE,data/HEALTHCARE/17624934.pdf,SENIOR MANAGER/SPECIALIST LEADER HEALTHCARE,", creative strategic thinker and collaborative team builder.Â  I have
spent the last 18 years serving leading healthcare organizations across the county, including Mayo Clinic, UMHS and Cedars-SinaiÂ as a Senior
Leader with Deloitte Consulting LLP.Â  Seeking opportunities to work with innovative, cutting edge organizations targeting healthcare
transformations.
Skill","al services to medically fragile children and their families.
Center was first of it's kind to receive JCAHO certification.
Successfully lobbied the State of Ohio Medicaid Waiver program to reimburse for services provided at a free-standing facility.
Contracted with third party payors and insurers for reimbursement.
Nurse Manager/RN
 
January 1984
 
to 
January 1993
 
Company Name
Rainbow Babies and Children's Hospital has been consistently recognized as one of the top five children's hospitals in the country.
Managed a 35 bed Bone Marrow Transplant/Oncology unit.
Daily operations management accountability.
Served as a member of the design team that developed the facilities planning, workflow design and patient care """
HEALTHCARE,data/HEALTHCARE/33803142.pdf,ADMINISTRATOR,and,"Bachelor of Science
 
:
 
Healthcare Administration
 
2005
 
University of Phoenix
 
, 
City
 
, 
State
 
Healthcare Administration
BS
 
:
 
Healthcare Administration Registered Nurse
 
1996
 
Northwest Mississippi Community College
 
, 
City
 
, 
State
 
Healthcare Administration
Registered Nurse
Diploma
 
:
 
Nursing - Registered Nurse
 
Methodist Hospital School of Nursing
 
, 
City
 
, 
State
 
Nursing - Registered Nurse
Southwest Tennessee Community College
 
, 
City
 
, 
State
 
Pre-requisite coursework working toward nursing degree"
HEALTHCARE,data/HEALTHCARE/16702198.pdf,KEY ACCOUNT MANAGER,"to close business. Highly motivated, enthusiastic and committed to exceeding expectations.","al presentations to customers including surgeons, infectious disease, pulmonologist, vascular,
hematology/oncology, transplant, wound center, podiatry, pharmacy
Based on an assessment of consumer disease and chronic care trends and healthcare needs, successfully led the introduction of products
into the healthcare arena.
Negotiated with Hospital pharmacies to ensure products where available for healthcare providers on multiple formularies
Worked with long term care facilities to ensure products were available to all facilities.
Successfully collaborated with peers to develop strategic operations, financial and quality objectives. Aided peers in implementation and
issue resolution
Developed highly successful team business goals and initiatives. Monitored results to ensure compliance with strategic objectives
Developed and preformed regional strategic initiatives to address market specific issues.
Conducted detailed competitive analysis to determine appropriate marketing and sales strategies.
Maximized Pfizer resources and upper management to enhance high level KOL relationships and leverage Pfizer strengths toward various
victories within the institutions.
Worked closely with Regulatory Affairs to keep compliant and within guidelines with all promotional activities Major Awards included
07'08'09'10 awarded regional performance fund for outstanding sales and work ethic
Consistent Achievers Award 14 out of 14 years
2003-2004 Winner of the Tactical Action Unit of the Year Award.
2004 #1 nationally in Viagra sales attainment
2005 Member of the Region of the Year.4-time Divisional Product Contest Award Winner.
2004 #1 in the Region for highest Lipitor new prescription growth.
2005 District finished #1 in the Region for highest physician call average plus Lipitor new prescription growth.
Company Name
 
January 2003
 
to 
January 2005
 
Health Care Consultant
 
Developed strategic business plans to exceed sales goal of $100 million while analyzing market trends and P & L. Customer base included
10 Academic Medical Centers, Integrated Delivery Systems, Large Medical Groups, Veterans Administrations and Long Term Care
Facilities.
Demonstrated strong intra-team cooperation to execute cross cluster business strategies that consistently provided added customer value
delivery.
Utilized effective accountability mechanisms to ensure that expectations were clear and sales were met
Met budget guidelines every year while exceeding activity on educational programs by carefully monitoring ROI.
Highly coachable and professional. Demonstrated self-awareness and emotional intelligence in evaluation and developmental situations.
Cultivated strong advocates with Medical Societies, (Hartford County Medical Society, American Association of Black Physicians) and
Academic Hospitals that supported Pfizer's products on the CT Medicaid Preferred Drug List.
Company Name
 
January 1991
 
to 
January 2003
 
Healthcare Representative
 
City
 
, 
State
Sold cardiovascular, urological and diabetes products to specialists, retailers, clinical pharmacists and pharmacy purchasers within academic
medical hospitals to include Yale Medical Center, Hartford Hospital, St. Francis Hospital, University of Connecticut Medical Center,
Baystate Medical Center, Newington and West Haven Veterans Administrations.
Successfully launched a new division of Pfizer
Collaborated with teammates to maintain all assigned Pfizer products on hospital formularies.
Gained access into multiple catherization procedures within Cardiology Departments at Yale New Haven Medical Center, Hartford
Hospital, St. Francis Medical Center and Baystate Medical Center.
1997 Winner of the Lipitor Convention Contest for highest market share growth.
1998 Winner Norvasc Product Contest for highest Norvasc Goal Attainment.
1998 Runner-up, National Hospital Representative for the first quarter.
1999 drove sales for multiple products surpassing $5 million resulting in the Winners Choice Award for greatest movement on the Goal
Attainment Report for the full year.
Successfully launched Procardia XL, Glucotrol XL, Zyrtec, Aricept, Cardura, Viagra, Norvasc, Lipitor, and Tikosyn for Atrial Fibrillation
Education
Northeastern University
 
1985
 
Bachelor of Arts
 
: 
Business Management
 
City
 
, 
State
 
, 
US
 
Northeastern University, BABM, Boston, MA
Certified Medical Representative
 
2005
 
Certification
 
: 
Pharmaceuticals
 
City
 
, 
State
Â 
Professional Affiliations
CT, RI and MAÂ Case Managers Societies Member
Member Pharmacy Association RI, MA and CT
â€‹
Certifications
Certified Medical Representative"
HEALTHCARE,data/HEALTHCARE/20172393.pdf,CLINICAL RESEARCH COORDINATOR MENTOR - QUALITY ASSURANCE,"Ability to learn new databases, software, and processes quickly
Member of UMHS Quality Month Committee
Professional","and Training
Eastern Michigan University
 
City
 
, 
State
 
, 
US
 
Bachelor of Business Administration
 
: 
Management
 
Bachelor of Business Administration -
Management Eastern Michigan University, Ypsilanti, MI Certified Clinical Research Professional - SoCRA
City
 
, 
State
 
, 
US
 
Associates
 
: 
Society of Clinical Research
 
The Society of Clinical Research Associates, Chalfont, PA
Certifications
CCRP Clinical Research Coordinator AEs Certified Clinical Research Professional - SoCRA
Affiliations
of UMHS Quality Month Committee
Presentations
Quarterly reports and presentations"
HEALTHCARE,data/HEALTHCARE/16132195.pdf,PERSONAL HEALTHCARE ASSISTANT,"Patient-focused care, Excellent interpersonal skills, Compassionate and trustworthy caregiver, Time management, Effectively interacts with patients
and families, Preparation of healthy meals and snacks, Medical terminology, Hospice care provider, Wound care, Charting and record keeping,
Time management","and Training
2012
Professional HealthCare In-Service
 
: 
Adult Behavioral and Diagnosed Mental Health Disorders
 
Alzheimer's Association Missouri
 
ï¼​ 
City
 
, 
State
 
,
Greene
Courses Included ;
 Â 
Alzheimer's
Demetia
2011
Professional HealthCare In-Service
 
: 
Early Childhood, Adolescent and Adult Behavioral, Emotional and Diagnosed Mental Health Disorders
Burrell Behavioral Health
 
ï¼​ 
City
 
, 
State
 
, 
Greene
Courses Included; 
Â 
Autism
Depression
Anxiety
Bi-Polar
ADHD
Schizophrenia
2000
High School Diploma
 
: 
General
 
Lebanon High School
 
ï¼​ 
City
 
, 
State
 
, 
Laclede"
HEALTHCARE,data/HEALTHCARE/10568183.pdf,MEDICAL SUPPORT ASSISTANT (OA) GS-5 STEP 2,". Strong work ethic, professional
demeanor and great initiative. Proficient at quickly learning new procedures and taking ownership of diverse projects.","2016
Bachelor of Science
 
: 
Healthcare Administration/Healthcare Management
 
University of Phoenix
 
ï¼​ 
City
 
, 
State
 
, 
United States
 
Health Care
Administration/Healthcare Management (completed) - 3.7
5/10/2011
Associates
 
: 
Medical Office Administration
 
Fayetteville Tech Community College
 
ï¼​ 
City
 
, 
State
 
, 
United States
 
Medical Office Administration 3.0
References
Melissa Arnold (*) Â  Â  Â  
 
 Â 910-574-3862
Tomeka Haddock (*)Â 
 
 Â 252-367-776
 
 
 
Stephanie Williams(*)
 
 
 
910-489-3215
(*) indicates professional reference"
HEALTHCARE,data/HEALTHCARE/41910253.pdf,HEALTHCARE ASSOCIATE,"EPIC, Microsoft Office Suite (Word/Excel/PowerPoint), Healthcare Systems, Insurance/Billing, Sorian Scheduling, Health/Medical Records,
Research, Reports, Databases, Data Analysis, and PCs/Windows Applications","and Training
American InterContinental University
 
City
 
, 
State
 
Healthcare Management
 
BBA
 
Healthcare Management Training: Healthcare Finance, Risk Management, Information Systems,
Management, Ethics, Policy Making
Qualifications
Communication"
